# Detector n: 1 Z
1 2     2.38251e-08 5.11776
2 3               0 0
3 4               0 0
4 5     1.72734e-06 6.46359
5 6               0 0
6 7      0.00392652 5.43267
7 8      0.00226522 5.47041
8 9     4.60286e-06 7.75009
9 10               0 0
10 11               0 0
11 12     1.10066e-23 99
12 13               0 0
13 14               0 0
14 15               0 0
15 16     3.05123e-08 99
16 17     9.97438e-09 61.2372
17 18      4.9628e-05 30.652
18 19      4.9815e-08 24.952
19 20     1.91652e-18 61.2372
20 21               0 0
21 22               0 0
22 23               0 0
23 24               0 0
24 25     5.80395e-09 99
25 26     4.10185e-05 41.1415
26 27      1.2769e-05 61.0512
27 28     0.000238224 14.6831
28 29     1.15019e-05 67.4626
29 30      0.00702675 2.52704
30 31       0.0024055 5.30951
31 32     0.000457511 16.3817
32 33               0 0
33 34               0 0
34 35               0 0


# Detector n: 2 A
1 2               0 0
2 3               0 0
3 4     2.38251e-08 0.0511776
4 5               0 0
5 6               0 0
6 7               0 0
7 8     1.72734e-06 0.0646359
8 9               0 0
9 10               0 0
10 11     8.69217e-15 0.170075
11 12      0.00392652 0.0543267
12 13               0 0
13 14      0.00226522 0.0547041
14 15     1.72232e-09 0.226008
15 16     4.60118e-06 0.0774806
16 17               0 0
17 18               0 0
18 19               0 0
19 20               0 0
20 21               0 0
21 22     1.10066e-23 0.99
22 23               0 0
23 24               0 0
24 25               0 0
25 26               0 0
26 27               0 0
27 28               0 0
28 29               0 0
29 30               0 0
30 31               0 0
31 32               0 0
32 33     3.05123e-08 0.99
33 34               0 0
34 35               0 0
35 36     9.97438e-09 0.612372
36 37               0 0
37 38     4.97695e-08 0.25
38 39     1.90477e-05 0.612372
39 40     3.05803e-05 0.467707
40 41     1.91652e-18 0.612372
41 42               0 0
42 43               0 0
43 44               0 0
44 45               0 0
45 46               0 0
46 47               0 0
47 48               0 0
48 49               0 0
49 50               0 0
50 51               0 0
51 52     8.57667e-06 0.99
52 53     2.18237e-05 0.612372
53 54     1.27277e-05 0.612372
54 55     2.37294e-08 0.19948
55 56     6.06404e-07 0.965049
56 57     1.10794e-05 0.39092
57 58     4.31695e-06 0.246694
58 59     5.68132e-05 0.19056
59 60     2.12148e-08 0.574143
60 61     0.000790504 0.0480091
61 62      0.00096001 0.0691291
62 63      0.00534511 0.0417999
63 64      0.00219763 0.0574687
64 65     0.000186727 0.075992
65 66     0.000360729 0.222268
66 67     4.73328e-05 0.154258
67 68     8.90046e-06 0.1877
68 69     0.000148857 0.233992
69 70     3.14893e-05 0.251797
70 71               0 0
71 72               0 0
72 73               0 0
73 74               0 0
74 75               0 0
75 76               0 0
76 77               0 0
77 78               0 0
78 79               0 0
79 80               0 0
80 81               0 0


# Detector n: 3 Z/A
# Block n: 3 A:1
1 1               0 0
2 1               0 0
3 1 0. 0.
4 1 0. 0.
5 1 0. 0.
6 1 0. 0.
7 1 0. 0.
8 1 0. 0.
9 1 0. 0.
10 1 0. 0.
11 1 0. 0.
12 1 0. 0.
13 1 0. 0.
14 1 0. 0.
15 1 0. 0.
16 1 0. 0.
17 1 0. 0.
18 1 0. 0.
19 1 0. 0.
20 1 0. 0.
21 1 0. 0.
22 1 0. 0.
23 1 0. 0.
24 1 0. 0.
25 1 0. 0.
26 1 0. 0.
27 1 0. 0.
28 1 0. 0.
29 1 0. 0.
30 1 0. 0.
31 1 0. 0.
32 1 0. 0.
33 1 0. 0.
34 1 0. 0.

# Block n: 3 A:2
1 2               0 0
2 2               0 0
3 2               0 0
4 2 0. 0.
5 2 0. 0.
6 2 0. 0.
7 2 0. 0.
8 2 0. 0.
9 2 0. 0.
10 2 0. 0.
11 2 0. 0.
12 2 0. 0.
13 2 0. 0.
14 2 0. 0.
15 2 0. 0.
16 2 0. 0.
17 2 0. 0.
18 2 0. 0.
19 2 0. 0.
20 2 0. 0.
21 2 0. 0.
22 2 0. 0.
23 2 0. 0.
24 2 0. 0.
25 2 0. 0.
26 2 0. 0.
27 2 0. 0.
28 2 0. 0.
29 2 0. 0.
30 2 0. 0.
31 2 0. 0.
32 2 0. 0.
33 2 0. 0.
34 2 0. 0.

# Block n: 3 A:3
1 3     2.38251e-08 5.11776
2 3               0 0
3 3               0 0
4 3 0. 0.
5 3 0. 0.
6 3 0. 0.
7 3 0. 0.
8 3 0. 0.
9 3 0. 0.
10 3 0. 0.
11 3 0. 0.
12 3 0. 0.
13 3 0. 0.
14 3 0. 0.
15 3 0. 0.
16 3 0. 0.
17 3 0. 0.
18 3 0. 0.
19 3 0. 0.
20 3 0. 0.
21 3 0. 0.
22 3 0. 0.
23 3 0. 0.
24 3 0. 0.
25 3 0. 0.
26 3 0. 0.
27 3 0. 0.
28 3 0. 0.
29 3 0. 0.
30 3 0. 0.
31 3 0. 0.
32 3 0. 0.
33 3 0. 0.
34 3 0. 0.

# Block n: 3 A:4
1 4               0 0
2 4               0 0
3 4               0 0
4 4               0 0
5 4 0. 0.
6 4 0. 0.
7 4 0. 0.
8 4 0. 0.
9 4 0. 0.
10 4 0. 0.
11 4 0. 0.
12 4 0. 0.
13 4 0. 0.
14 4 0. 0.
15 4 0. 0.
16 4 0. 0.
17 4 0. 0.
18 4 0. 0.
19 4 0. 0.
20 4 0. 0.
21 4 0. 0.
22 4 0. 0.
23 4 0. 0.
24 4 0. 0.
25 4 0. 0.
26 4 0. 0.
27 4 0. 0.
28 4 0. 0.
29 4 0. 0.
30 4 0. 0.
31 4 0. 0.
32 4 0. 0.
33 4 0. 0.
34 4 0. 0.

# Block n: 3 A:5
1 5               0 0
2 5               0 0
3 5               0 0
4 5               0 0
5 5 0. 0.
6 5 0. 0.
7 5 0. 0.
8 5 0. 0.
9 5 0. 0.
10 5 0. 0.
11 5 0. 0.
12 5 0. 0.
13 5 0. 0.
14 5 0. 0.
15 5 0. 0.
16 5 0. 0.
17 5 0. 0.
18 5 0. 0.
19 5 0. 0.
20 5 0. 0.
21 5 0. 0.
22 5 0. 0.
23 5 0. 0.
24 5 0. 0.
25 5 0. 0.
26 5 0. 0.
27 5 0. 0.
28 5 0. 0.
29 5 0. 0.
30 5 0. 0.
31 5 0. 0.
32 5 0. 0.
33 5 0. 0.
34 5 0. 0.

# Block n: 3 A:6
1 6               0 0
2 6               0 0
3 6               0 0
4 6               0 0
5 6               0 0
6 6 0. 0.
7 6 0. 0.
8 6 0. 0.
9 6 0. 0.
10 6 0. 0.
11 6 0. 0.
12 6 0. 0.
13 6 0. 0.
14 6 0. 0.
15 6 0. 0.
16 6 0. 0.
17 6 0. 0.
18 6 0. 0.
19 6 0. 0.
20 6 0. 0.
21 6 0. 0.
22 6 0. 0.
23 6 0. 0.
24 6 0. 0.
25 6 0. 0.
26 6 0. 0.
27 6 0. 0.
28 6 0. 0.
29 6 0. 0.
30 6 0. 0.
31 6 0. 0.
32 6 0. 0.
33 6 0. 0.
34 6 0. 0.

# Block n: 3 A:7
1 7               0 0
2 7               0 0
3 7               0 0
4 7     1.72734e-06 6.46359
5 7               0 0
6 7 0. 0.
7 7 0. 0.
8 7 0. 0.
9 7 0. 0.
10 7 0. 0.
11 7 0. 0.
12 7 0. 0.
13 7 0. 0.
14 7 0. 0.
15 7 0. 0.
16 7 0. 0.
17 7 0. 0.
18 7 0. 0.
19 7 0. 0.
20 7 0. 0.
21 7 0. 0.
22 7 0. 0.
23 7 0. 0.
24 7 0. 0.
25 7 0. 0.
26 7 0. 0.
27 7 0. 0.
28 7 0. 0.
29 7 0. 0.
30 7 0. 0.
31 7 0. 0.
32 7 0. 0.
33 7 0. 0.
34 7 0. 0.

# Block n: 3 A:8
1 8               0 0
2 8               0 0
3 8               0 0
4 8               0 0
5 8               0 0
6 8               0 0
7 8 0. 0.
8 8 0. 0.
9 8 0. 0.
10 8 0. 0.
11 8 0. 0.
12 8 0. 0.
13 8 0. 0.
14 8 0. 0.
15 8 0. 0.
16 8 0. 0.
17 8 0. 0.
18 8 0. 0.
19 8 0. 0.
20 8 0. 0.
21 8 0. 0.
22 8 0. 0.
23 8 0. 0.
24 8 0. 0.
25 8 0. 0.
26 8 0. 0.
27 8 0. 0.
28 8 0. 0.
29 8 0. 0.
30 8 0. 0.
31 8 0. 0.
32 8 0. 0.
33 8 0. 0.
34 8 0. 0.

# Block n: 3 A:9
1 9               0 0
2 9               0 0
3 9               0 0
4 9               0 0
5 9               0 0
6 9               0 0
7 9 0. 0.
8 9 0. 0.
9 9 0. 0.
10 9 0. 0.
11 9 0. 0.
12 9 0. 0.
13 9 0. 0.
14 9 0. 0.
15 9 0. 0.
16 9 0. 0.
17 9 0. 0.
18 9 0. 0.
19 9 0. 0.
20 9 0. 0.
21 9 0. 0.
22 9 0. 0.
23 9 0. 0.
24 9 0. 0.
25 9 0. 0.
26 9 0. 0.
27 9 0. 0.
28 9 0. 0.
29 9 0. 0.
30 9 0. 0.
31 9 0. 0.
32 9 0. 0.
33 9 0. 0.
34 9 0. 0.

# Block n: 3 A:10
1 10               0 0
2 10               0 0
3 10               0 0
4 10     8.69217e-15 17.0075
5 10               0 0
6 10     4.79991e-25 12.4361
7 10               0 0
8 10 0. 0.
9 10 0. 0.
10 10 0. 0.
11 10 0. 0.
12 10 0. 0.
13 10 0. 0.
14 10 0. 0.
15 10 0. 0.
16 10 0. 0.
17 10 0. 0.
18 10 0. 0.
19 10 0. 0.
20 10 0. 0.
21 10 0. 0.
22 10 0. 0.
23 10 0. 0.
24 10 0. 0.
25 10 0. 0.
26 10 0. 0.
27 10 0. 0.
28 10 0. 0.
29 10 0. 0.
30 10 0. 0.
31 10 0. 0.
32 10 0. 0.
33 10 0. 0.
34 10 0. 0.

# Block n: 3 A:11
1 11               0 0
2 11               0 0
3 11               0 0
4 11      1.4213e-35 99
5 11               0 0
6 11      0.00392652 5.43267
7 11               0 0
8 11 0. 0.
9 11 0. 0.
10 11 0. 0.
11 11 0. 0.
12 11 0. 0.
13 11 0. 0.
14 11 0. 0.
15 11 0. 0.
16 11 0. 0.
17 11 0. 0.
18 11 0. 0.
19 11 0. 0.
20 11 0. 0.
21 11 0. 0.
22 11 0. 0.
23 11 0. 0.
24 11 0. 0.
25 11 0. 0.
26 11 0. 0.
27 11 0. 0.
28 11 0. 0.
29 11 0. 0.
30 11 0. 0.
31 11 0. 0.
32 11 0. 0.
33 11 0. 0.
34 11 0. 0.

# Block n: 3 A:12
1 12               0 0
2 12               0 0
3 12               0 0
4 12               0 0
5 12               0 0
6 12               0 0
7 12               0 0
8 12               0 0
9 12 0. 0.
10 12 0. 0.
11 12 0. 0.
12 12 0. 0.
13 12 0. 0.
14 12 0. 0.
15 12 0. 0.
16 12 0. 0.
17 12 0. 0.
18 12 0. 0.
19 12 0. 0.
20 12 0. 0.
21 12 0. 0.
22 12 0. 0.
23 12 0. 0.
24 12 0. 0.
25 12 0. 0.
26 12 0. 0.
27 12 0. 0.
28 12 0. 0.
29 12 0. 0.
30 12 0. 0.
31 12 0. 0.
32 12 0. 0.
33 12 0. 0.
34 12 0. 0.

# Block n: 3 A:13
1 13               0 0
2 13               0 0
3 13               0 0
4 13               0 0
5 13               0 0
6 13               0 0
7 13      0.00226522 5.47041
8 13               0 0
9 13 0. 0.
10 13 0. 0.
11 13 0. 0.
12 13 0. 0.
13 13 0. 0.
14 13 0. 0.
15 13 0. 0.
16 13 0. 0.
17 13 0. 0.
18 13 0. 0.
19 13 0. 0.
20 13 0. 0.
21 13 0. 0.
22 13 0. 0.
23 13 0. 0.
24 13 0. 0.
25 13 0. 0.
26 13 0. 0.
27 13 0. 0.
28 13 0. 0.
29 13 0. 0.
30 13 0. 0.
31 13 0. 0.
32 13 0. 0.
33 13 0. 0.
34 13 0. 0.

# Block n: 3 A:14
1 14               0 0
2 14               0 0
3 14               0 0
4 14               0 0
5 14               0 0
6 14     3.68426e-11 5.34514
7 14               0 0
8 14     1.68547e-09 23.0769
9 14               0 0
10 14 0. 0.
11 14 0. 0.
12 14 0. 0.
13 14 0. 0.
14 14 0. 0.
15 14 0. 0.
16 14 0. 0.
17 14 0. 0.
18 14 0. 0.
19 14 0. 0.
20 14 0. 0.
21 14 0. 0.
22 14 0. 0.
23 14 0. 0.
24 14 0. 0.
25 14 0. 0.
26 14 0. 0.
27 14 0. 0.
28 14 0. 0.
29 14 0. 0.
30 14 0. 0.
31 14 0. 0.
32 14 0. 0.
33 14 0. 0.
34 14 0. 0.

# Block n: 3 A:15
1 15 0. 0.
2 15               0 0
3 15               0 0
4 15               0 0
5 15               0 0
6 15               0 0
7 15               0 0
8 15     4.60118e-06 7.74806
9 15               0 0
10 15 0. 0.
11 15 0. 0.
12 15 0. 0.
13 15 0. 0.
14 15 0. 0.
15 15 0. 0.
16 15 0. 0.
17 15 0. 0.
18 15 0. 0.
19 15 0. 0.
20 15 0. 0.
21 15 0. 0.
22 15 0. 0.
23 15 0. 0.
24 15 0. 0.
25 15 0. 0.
26 15 0. 0.
27 15 0. 0.
28 15 0. 0.
29 15 0. 0.
30 15 0. 0.
31 15 0. 0.
32 15 0. 0.
33 15 0. 0.
34 15 0. 0.

# Block n: 3 A:16
1 16 0. 0.
2 16               0 0
3 16               0 0
4 16               0 0
5 16               0 0
6 16               0 0
7 16               0 0
8 16               0 0
9 16               0 0
10 16               0 0
11 16 0. 0.
12 16 0. 0.
13 16 0. 0.
14 16 0. 0.
15 16 0. 0.
16 16 0. 0.
17 16 0. 0.
18 16 0. 0.
19 16 0. 0.
20 16 0. 0.
21 16 0. 0.
22 16 0. 0.
23 16 0. 0.
24 16 0. 0.
25 16 0. 0.
26 16 0. 0.
27 16 0. 0.
28 16 0. 0.
29 16 0. 0.
30 16 0. 0.
31 16 0. 0.
32 16 0. 0.
33 16 0. 0.
34 16 0. 0.

# Block n: 3 A:17
1 17 0. 0.
2 17 0. 0.
3 17               0 0
4 17               0 0
5 17               0 0
6 17               0 0
7 17               0 0
8 17               0 0
9 17               0 0
10 17               0 0
11 17 0. 0.
12 17 0. 0.
13 17 0. 0.
14 17 0. 0.
15 17 0. 0.
16 17 0. 0.
17 17 0. 0.
18 17 0. 0.
19 17 0. 0.
20 17 0. 0.
21 17 0. 0.
22 17 0. 0.
23 17 0. 0.
24 17 0. 0.
25 17 0. 0.
26 17 0. 0.
27 17 0. 0.
28 17 0. 0.
29 17 0. 0.
30 17 0. 0.
31 17 0. 0.
32 17 0. 0.
33 17 0. 0.
34 17 0. 0.

# Block n: 3 A:18
1 18 0. 0.
2 18 0. 0.
3 18               0 0
4 18               0 0
5 18               0 0
6 18               0 0
7 18               0 0
8 18               0 0
9 18               0 0
10 18               0 0
11 18               0 0
12 18 0. 0.
13 18 0. 0.
14 18 0. 0.
15 18 0. 0.
16 18 0. 0.
17 18 0. 0.
18 18 0. 0.
19 18 0. 0.
20 18 0. 0.
21 18 0. 0.
22 18 0. 0.
23 18 0. 0.
24 18 0. 0.
25 18 0. 0.
26 18 0. 0.
27 18 0. 0.
28 18 0. 0.
29 18 0. 0.
30 18 0. 0.
31 18 0. 0.
32 18 0. 0.
33 18 0. 0.
34 18 0. 0.

# Block n: 3 A:19
1 19 0. 0.
2 19 0. 0.
3 19 0. 0.
4 19               0 0
5 19               0 0
6 19               0 0
7 19               0 0
8 19               0 0
9 19               0 0
10 19               0 0
11 19               0 0
12 19 0. 0.
13 19 0. 0.
14 19 0. 0.
15 19 0. 0.
16 19 0. 0.
17 19 0. 0.
18 19 0. 0.
19 19 0. 0.
20 19 0. 0.
21 19 0. 0.
22 19 0. 0.
23 19 0. 0.
24 19 0. 0.
25 19 0. 0.
26 19 0. 0.
27 19 0. 0.
28 19 0. 0.
29 19 0. 0.
30 19 0. 0.
31 19 0. 0.
32 19 0. 0.
33 19 0. 0.
34 19 0. 0.

# Block n: 3 A:20
1 20 0. 0.
2 20 0. 0.
3 20 0. 0.
4 20               0 0
5 20               0 0
6 20               0 0
7 20               0 0
8 20               0 0
9 20               0 0
10 20               0 0
11 20               0 0
12 20               0 0
13 20 0. 0.
14 20 0. 0.
15 20 0. 0.
16 20 0. 0.
17 20 0. 0.
18 20 0. 0.
19 20 0. 0.
20 20 0. 0.
21 20 0. 0.
22 20 0. 0.
23 20 0. 0.
24 20 0. 0.
25 20 0. 0.
26 20 0. 0.
27 20 0. 0.
28 20 0. 0.
29 20 0. 0.
30 20 0. 0.
31 20 0. 0.
32 20 0. 0.
33 20 0. 0.
34 20 0. 0.

# Block n: 3 A:21
1 21 0. 0.
2 21 0. 0.
3 21 0. 0.
4 21 0. 0.
5 21               0 0
6 21               0 0
7 21               0 0
8 21               0 0
9 21               0 0
10 21               0 0
11 21     1.10066e-23 99
12 21               0 0
13 21 0. 0.
14 21 0. 0.
15 21 0. 0.
16 21 0. 0.
17 21 0. 0.
18 21 0. 0.
19 21 0. 0.
20 21 0. 0.
21 21 0. 0.
22 21 0. 0.
23 21 0. 0.
24 21 0. 0.
25 21 0. 0.
26 21 0. 0.
27 21 0. 0.
28 21 0. 0.
29 21 0. 0.
30 21 0. 0.
31 21 0. 0.
32 21 0. 0.
33 21 0. 0.
34 21 0. 0.

# Block n: 3 A:22
1 22 0. 0.
2 22 0. 0.
3 22 0. 0.
4 22 0. 0.
5 22               0 0
6 22               0 0
7 22               0 0
8 22               0 0
9 22               0 0
10 22               0 0
11 22               0 0
12 22               0 0
13 22               0 0
14 22 0. 0.
15 22 0. 0.
16 22 0. 0.
17 22 0. 0.
18 22 0. 0.
19 22 0. 0.
20 22 0. 0.
21 22 0. 0.
22 22 0. 0.
23 22 0. 0.
24 22 0. 0.
25 22 0. 0.
26 22 0. 0.
27 22 0. 0.
28 22 0. 0.
29 22 0. 0.
30 22 0. 0.
31 22 0. 0.
32 22 0. 0.
33 22 0. 0.
34 22 0. 0.

# Block n: 3 A:23
1 23 0. 0.
2 23 0. 0.
3 23 0. 0.
4 23 0. 0.
5 23 0. 0.
6 23               0 0
7 23               0 0
8 23               0 0
9 23               0 0
10 23               0 0
11 23               0 0
12 23               0 0
13 23               0 0
14 23 0. 0.
15 23 0. 0.
16 23 0. 0.
17 23 0. 0.
18 23 0. 0.
19 23 0. 0.
20 23 0. 0.
21 23 0. 0.
22 23 0. 0.
23 23 0. 0.
24 23 0. 0.
25 23 0. 0.
26 23 0. 0.
27 23 0. 0.
28 23 0. 0.
29 23 0. 0.
30 23 0. 0.
31 23 0. 0.
32 23 0. 0.
33 23 0. 0.
34 23 0. 0.

# Block n: 3 A:24
1 24 0. 0.
2 24 0. 0.
3 24 0. 0.
4 24 0. 0.
