# Detector n: 1D Projection
 -1.0000000000E+00 -9.8000000000E-01  4.39431E-05  1.45454E-01
 -9.8000000000E-01 -9.6000000000E-01  4.38526E-05  1.55296E-01
 -9.6000000000E-01 -9.4000000000E-01  4.38527E-05  1.24069E-01
 -9.4000000000E-01 -9.2000000000E-01  4.39172E-05  1.05984E-01
 -9.2000000000E-01 -9.0000000000E-01  4.38724E-05  1.20304E-01
 -9.0000000000E-01 -8.8000000000E-01  4.38819E-05  1.14634E-01
 -8.8000000000E-01 -8.6000000000E-01  4.38432E-05  7.94433E-02
 -8.6000000000E-01 -8.4000000000E-01  4.40061E-05  1.47993E-01
 -8.4000000000E-01 -8.2000000000E-01  4.39570E-05  5.95012E-02
 -8.2000000000E-01 -8.0000000000E-01  4.39348E-05  9.63345E-02
 -8.0000000000E-01 -7.8000000000E-01  4.39333E-05  1.03343E-01
 -7.8000000000E-01 -7.6000000000E-01  4.39196E-05  1.16257E-01
 -7.6000000000E-01 -7.4000000000E-01  4.40535E-05  2.47856E-01
 -7.4000000000E-01 -7.2000000000E-01  4.40061E-05  1.01978E-01
 -7.2000000000E-01 -7.0000000000E-01  4.39315E-05  1.09535E-01
 -7.0000000000E-01 -6.8000000000E-01  4.39659E-05  1.19323E-01
 -6.8000000000E-01 -6.6000000000E-01  4.39369E-05  1.06651E-01
 -6.6000000000E-01 -6.4000000000E-01  4.40143E-05  2.01952E-01
 -6.4000000000E-01 -6.2000000000E-01  4.39349E-05  9.27958E-02
 -6.2000000000E-01 -6.0000000000E-01  4.40901E-05  1.49280E-01
 -6.0000000000E-01 -5.8000000000E-01  4.41575E-05  2.64794E-01
 -5.8000000000E-01 -5.6000000000E-01  4.43022E-05  4.94370E-01
 -5.6000000000E-01 -5.4000000000E-01  4.40384E-05  1.04261E-01
 -5.4000000000E-01 -5.2000000000E-01  4.40565E-05  1.32222E-01
 -5.2000000000E-01 -5.0000000000E-01  4.40680E-05  2.06315E-01
 -5.0000000000E-01 -4.8000000000E-01  4.41852E-05  4.57792E-01
