
E  /  dE   / X  /   Y  /  FWHMx  /  FWHMy/............./W
0.10716 0.00119 5.37639 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.76553335e+09
0.10716 0.00119 4.70434 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.86599722e+09
0.10716 0.00119 4.03229 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.78823847e+09
0.10716 0.00119 3.36025 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.17517875e+09
0.10716 0.00119 2.68820 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.81291762e+09
0.10716 0.00119 2.01615 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.47583257e+09
0.10716 0.00119 1.34410 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.57552825e+09
0.10716 0.00119 0.67205 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.57885817e+09
0.10716 0.00119 -0.00000 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.52284045e+09
0.10716 0.00119 -0.67205 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.57807456e+09
0.10716 0.00119 -1.34410 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.56475569e+09
0.10716 0.00119 -2.01615 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.46643092e+09
0.10716 0.00119 -2.68820 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.79744423e+09
0.10716 0.00119 -3.36025 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.16401438e+09
0.10716 0.00119 -4.03229 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.78432125e+09
0.10716 0.00119 -4.70434 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.86070869e+09
0.10716 0.00119 -5.37639 1.17778 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.76161613e+09
0.10716 0.00119 5.71242 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.32189760e+09
0.10716 0.00119 5.04037 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 4.82808955e+09
0.10716 0.00119 4.36832 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.60218141e+09
0.10716 0.00119 3.69627 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.93015084e+09
0.10716 0.00119 3.02422 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.73193470e+09
0.10716 0.00119 2.35217 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.40895214e+09
0.10716 0.00119 1.68012 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.86943249e+09
0.10716 0.00119 1.00807 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.45635162e+09
0.10716 0.00119 0.33602 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.70196723e+09
0.10716 0.00119 -0.33602 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.70470945e+09
0.10716 0.00119 -1.00807 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.45752682e+09
0.10716 0.00119 -1.68012 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.88059686e+09
0.10716 0.00119 -2.35217 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.41737450e+09
0.10716 0.00119 -3.02422 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.74329497e+09
0.10716 0.00119 -3.69627 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.93445987e+09
0.10716 0.00119 -4.36832 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.60414002e+09
0.10716 0.00119 -5.04037 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 4.82671824e+09
0.10716 0.00119 -5.71242 0.58889 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 1.32013479e+09
0.10716 0.00119 5.37639 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.35713810e+09
0.10716 0.00119 4.70434 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.03700331e+09
0.10716 0.00119 4.03229 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 4.04227623e+09
0.10716 0.00119 3.36025 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.30318474e+09
0.10716 0.00119 2.68820 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 3.39670292e+09
0.10716 0.00119 2.01615 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.89430733e+09
0.10716 0.00119 1.34410 -0.00000 0.73242 0.89395 0.00345 0.00391 -0.00097 -0.00045 2.99086919e+09
